#{"t_start": 1765854108.765417, "env_id": "None"}
r,l,t
-5.832189,146,750.696684
233.298523,1,750.740596
-63.124369,341,753.982012
233.298523,1,754.02359
1.502415,400,757.940171
40.73747,143,759.333776
451.088503,341,762.633742
233.298523,1,762.680242
233.298309,1,762.721571
-31.715407,300,765.676042
233.298523,1,765.722699
255.35036,142,767.059161
197.391229,105,768.059971
233.298523,1,768.106197
-31.623154,300,770.930785
54.609512,132,772.340316
-28.565194,147,773.807961
-35.164844,300,776.872367
254.229589,133,778.211235
-45.513288,341,781.605631
255.35036,142,782.947255
1067.582949,300,785.906923
1061.778275,300,788.803004
1060.080339,300,791.744148
233.298523,1,791.791432
-4.873118,300,794.670639
-60.141169,341,797.87172
-24.292704,317,800.969507
1058.364105,300,803.869024
-11.782184,308,806.78791
-34.64234,341,810.224425
254.113905,133,811.596076
-30.677634,157,813.06815
27.579188,130,814.346117
54.781909,133,815.680982
255.35036,142,817.090283
-37.446246,34,817.500592
54.904112,133,818.722413
233.298523,1,818.770489
227.120262,1,818.812045
55.503747,133,820.073634
-16.865656,300,822.948469
1060.242186,300,825.832472
254.25643,133,827.173563
14.975805,134,828.407925
-20.854515,300,831.320036
-34.137268,341,834.57866
335.105606,302,837.502305
-30.497439,341,840.820741
18.12602,18,841.053219
254.251225,133,842.290247
-45.139394,341,845.529667
21.363027,300,848.368319
-47.30776,352,851.884425
294.848119,400,855.59841
408.833588,341,858.786272
23.067546,21,859.008534
-32.079354,166,860.636643
1064.572514,300,863.49972
35.904879,341,866.721873
-38.72755,341,870.046071
-35.195834,178,871.730522
-12.55515,300,874.623632
254.138832,133,875.891545
233.298523,1,875.933873
61.419361,300,878.720786
913.4153,400,882.531427
37.856584,129,883.797888
16.92893,300,886.736587
-19.518803,136,888.063808
-35.926643,341,891.232911
382.901467,232,893.463332
-50.361694,341,896.664209
95.293088,341,899.84945
255.35036,142,901.270504
54.82139,133,902.495307
58.416489,130,903.84271
255.35036,142,905.199565
891.666476,400,909.00364
233.298523,1,909.046185
-52.500145,341,912.338861
1071.398425,300,915.191905
78.608579,300,918.106337
54.80911,133,919.523699
607.445378,312,922.518805
94.475175,300,925.496981
255.35036,142,926.854618
41.678557,144,928.297706
-14.554999,300,931.079522
673.373967,343,934.428493
54.146644,129,935.663624
1069.286084,300,938.53298
188.235766,400,942.356066
254.123345,133,943.642274
516.035269,341,946.953192
254.123357,133,948.295001
-89.925916,300,951.180823
493.147275,253,953.593612
254.123346,133,954.974961
54.590098,132,956.237969
167.210506,400,960.023285
-42.159009,341,963.26106
-17.892844,300,966.057809
-44.170229,341,969.3088
387.989272,300,972.154032
-80.236938,253,974.580366
254.123372,133,975.917793
48.133087,128,977.150501
-25.772598,138,978.5122
254.123346,133,979.827515
254.123373,133,981.10152
-16.412582,300,983.994261
254.114568,133,985.26446
184.993757,289,988.009517
255.35036,142,989.363541
-37.394279,341,992.571722
54.829268,133,993.840097
54.760765,133,995.102423
-15.950809,300,997.940715
255.35036,142,999.292807
-41.411086,341,1002.657132
40.101428,341,1005.908105
-29.740961,115,1006.979181
898.010628,400,1010.769913
254.124198,133,1012.107222
234.217675,400,1015.981141
-6.042435,341,1019.319629
255.35036,142,1020.812363
-24.184692,341,1024.771994
61.09772,341,1027.995865
254.114568,133,1029.260892
254.114568,133,1030.567136
-24.057523,341,1033.805656
64.890703,128,1035.107552
233.298523,1,1035.156701
207.06501,400,1038.914764
900.552356,400,1042.706239
-18.998051,2,1042.761043
902.793834,400,1046.53911
208.010575,1,1046.581631
233.298523,1,1046.627081
50.166903,129,1047.935327
54.861807,133,1049.253249
1069.763794,300,1052.158969
233.298309,1,1052.203595
613.442527,300,1055.117213
233.298523,1,1055.163503
-40.610398,341,1058.399293
233.298523,1,1058.446081
233.298523,1,1058.487007
-25.742609,60,1059.132225
438.239469,341,1062.404402
