#{"t_start": 1765854108.7637842, "env_id": "None"}
r,l,t
419.553574,341,587.593013
-37.308631,296,589.300101
-29.633444,300,589.919854
233.298523,1,589.957643
-43.254282,300,591.724004
398.580064,216,592.225909
53.957925,186,593.654209
123.745368,341,594.426575
255.004927,400,596.345777
233.298523,1,596.383702
-38.582736,400,598.302368
156.722537,341,600.114655
456.302892,245,600.576506
1059.734615,300,602.338148
-204.603164,341,603.021221
112.83195,400,605.050002
29.316791,341,606.851359
46.535466,341,607.513005
116.291593,341,609.288039
134.303918,341,611.019453
429.157108,341,611.711642
54.065014,37,611.801599
414.681244,221,613.316777
1074.645873,300,613.907332
235.728796,1,613.945608
452.303556,249,615.535619
455.735199,300,617.201645
-33.492139,152,617.49567
1059.975835,300,618.13502
-22.192159,13,618.193392
730.925566,341,619.964311
-51.535448,341,621.757785
-85.097572,400,623.719588
-25.23929,341,624.402702
111.366418,341,626.226337
133.214195,341,627.999408
233.298523,1,628.037295
307.28009,400,629.001793
233.298523,1,629.039766
494.326674,300,630.629665
888.406561,400,632.632088
-13.700838,19,632.703541
516.888969,300,633.421975
139.592492,341,635.145869
510.104299,300,636.932867
-31.828652,300,637.597902
-37.967932,400,639.448237
878.678745,400,641.355744
1045.03433,300,641.968596
-72.052426,300,643.637552
285.866858,400,645.580473
119.251335,341,646.253042
436.984253,244,647.94934
-33.186261,400,649.937027
-11.051372,21,650.003943
351.309051,341,650.70852
-62.231929,30,650.829947
48.915381,308,652.477584
233.298523,1,652.515502
42.000556,341,654.317031
-33.545046,300,654.944598
402.676908,300,656.68598
444.614361,246,657.187997
396.082591,213,658.722198
-66.362469,341,659.535697
403.684968,221,661.011679
54.735696,263,661.575363
233.298523,1,661.613097
-31.923923,300,663.337067
-20.929154,400,665.196244
705.797627,341,665.988673
-20.041767,300,667.635001
-18.760598,2,667.675983
291.023417,400,669.677085
-103.384495,341,670.315037
-32.797598,400,672.188761
-20.879608,400,674.125813
-9.613181,400,676.047733
61.690974,341,676.692806
-44.649753,300,678.326159
481.557824,341,680.186435
-18.000479,1,680.223609
434.43986,341,680.988178
898.697641,400,682.858125
518.473158,341,684.592417
384.981324,213,685.052051
-7.285154,400,687.085483
436.481075,243,687.676014
406.958486,229,689.12871
1048.295163,300,689.813713
408.998608,232,691.44354
-61.957604,300,693.192765
-61.903878,300,693.783744
232.676946,1,693.821734
-23.026984,300,695.523985
233.298523,1,695.562004
-147.827157,341,696.268965
233.298523,1,696.307297
76.234797,251,697.899084
264.258122,341,699.621201
414.34817,226,700.07114
-21.276167,400,702.042098
436.47022,341,702.830612
412.141602,222,704.358672
27.091652,289,704.989233
52.115109,341,706.775861
1050.925541,300,708.551437
145.818695,341,709.30805
975.21759,300,711.060035
68.730361,341,712.779668
264.962467,341,713.457895
1055.048698,300,715.199376
975.61107,300,715.853371
-25.237113,30,715.972594
224.706047,1,716.010312
-13.775886,400,717.911981
481.538947,341,719.749614
233.298523,1,719.787541
233.298523,1,719.824296
1064.921998,300,721.464234
-27.417631,29,721.578315
277.334172,400,722.368913
233.298523,1,722.406835
-90.023938,400,724.331494
1067.550545,300,726.179788
417.325499,325,726.848716
417.441435,229,728.3387
-72.523711,341,729.072825
-22.606915,300,730.809283
1051.233896,300,732.437054
616.09185,315,733.098401
108.598322,341,734.818098
440.520482,341,736.541888
387.443075,211,736.999569
282.096035,400,738.844779
476.189725,341,739.605561
-120.508375,288,741.248138
379.416851,209,741.67065
233.298523,1,741.70893
561.317397,300,743.473883
-26.726496,400,745.40378
233.298523,1,745.441887
419.862564,229,745.928532
911.254755,400,747.872578
-9.98671,5,747.915629
-20.31326,12,747.968744
233.298523,1,748.006158
-33.62746,300,749.728102
378.278449,341,750.583272
897.498813,400,752.492177
-130.68246,341,754.306008
301.399659,341,754.922054
-14.503019,10,754.973989
176.830905,360,756.839658
233.298523,1,756.878137
233.298523,1,756.91503
-78.212354,140,757.21138
-77.174992,400,759.214737
374.762109,208,760.6648
6.34907,341,761.376986
233.298523,1,761.41543
598.532212,341,763.211087
281.203988,400,765.138505
382.532999,207,765.554013
597.286428,300,767.253845
36.9715,265,767.797361
1.394565,341,769.518979
-25.29058,24,769.626258
541.98854,300,771.362711
148.362751,317,771.984621
521.902835,341,773.720959
900.576222,400,775.724637
526.303682,300,776.406771
194.193595,103,776.615863
-20.05782,1,776.652323
216.3989,1,776.689194
386.029143,341,778.490181
293.559036,400,780.352361
-32.097811,300,780.975938
233.298523,1,781.013984
-19.447,1,781.051324
-122.9447,270,782.676
516.63949,341,784.478276
306.66196,400,785.252774
911.059289,400,787.194152
-64.535746,300,788.914009
474.991716,341,789.561322
1037.12131,300,791.268708
238.859794,1,791.307266
432.655576,236,791.820793
-58.562941,300,793.49624
454.357176,249,795.176928
-31.087302,300,795.92904
126.201571,341,797.682396
-23.574615,12,797.737933
487.765608,300,798.393142
-62.876337,400,800.206107
172.706569,341,802.119594
317.267504,177,802.569668
-37.233294,44,802.678984
233.298523,1,802.716595
-55.835892,300,804.40523
-33.553139,300,804.932023
754.270304,300,806.632235
889.367529,300,808.319511
-14.462752,400,809.176119
-80.915574,300,810.828136
-17.234287,5,810.872727
417.498269,234,811.468931
-89.20384,300,813.187457
-9.986475,400,815.235612
2.029909,341,817.072089
-32.015714,300,817.755576
55.1854,258,819.322545
-62.471588,400,820.317632
1082.559949,300,821.992674
-113.730274,400,823.923951
-29.224098,300,824.625199
377.355508,218,826.113374
-13.454714,400,828.147414
398.504763,225,828.628058
-70.505609,300,830.354908
-17.999422,1,830.392532
26.366103,23,830.459619
40.800738,327,831.117188
233.229468,1,831.15504
43.933605,268,832.747919
365.064787,199,833.220125
288.444522,400,835.114394
292.826647,400,836.978729
-64.346935,300,837.602508
-43.628306,300,839.331268
233.298523,1,839.369752
228.253641,1,839.406764
401.667979,222,839.864712
684.438207,341,841.739933
353.071006,191,842.15018
-79.59809,300,843.823984
-39.974039,400,845.722941
1053.756316,300,846.476839
385.185271,208,848.012633
1063.935193,300,848.705617
896.558247,400,850.554758
26.418939,341,852.371136
-22.573675,400,854.213825
507.363982,300,854.820973
-191.172139,341,856.556365
-26.502271,42,856.653748
406.920412,222,857.159102
21.727696,341,858.907242
-61.722794,300,860.564781
43.783716,341,861.272266
233.298523,1,861.310199
233.298523,1,861.347326
299.36687,400,863.193823
-301.743457,341,864.960022
35.509375,341,865.620644
16.031628,17,865.680887
-254.277201,341,867.478982
357.779299,197,867.909683
233.298523,1,867.94761
-19.968544,400,869.870771
-43.683093,300,871.577454
-296.444084,341,872.371475
74.941481,235,873.90403
-78.319689,300,875.637532
301.265337,400,876.405402
380.693173,205,877.957871
-41.559875,400,878.795606
233.298523,1,878.833679
-17.531171,4,878.874249
314.150898,400,880.805022
229.822078,1,880.843044
-13.275658,400,882.733743
1064.527927,300,884.438872
179.067392,341,885.148575
570.916512,341,887.030338
