#{"t_start": 1765854108.7559495, "env_id": "None"}
r,l,t
-5.702405,7,1657.199348
-73.758062,321,1662.188046
-74.693504,341,1667.334256
-42.594476,341,1672.417484
366.001661,197,1675.416746
367.841321,201,1678.258068
-69.56741,341,1683.217589
55.582019,159,1685.831394
244.482252,400,1691.745506
63.30059,157,1694.094842
259.106844,143,1696.287313
-35.266514,341,1701.490038
-30.697666,43,1702.156338
617.335696,300,1706.612102
430.715604,341,1711.593324
23.309519,341,1716.650512
-17.998999,1,1716.697959
612.799468,300,1721.229772
245.197395,341,1726.421153
226.372351,1,1726.471006
1011.395619,300,1731.40996
244.577286,400,1738.037648
-11.791438,300,1743.027374
-21.915869,8,1743.189405
-40.792077,341,1748.801505
227.444291,1,1748.852217
254.458917,341,1754.246338
20.101725,341,1759.323553
255.717637,400,1765.87845
279.461933,341,1771.619827
-41.591012,341,1777.25601
-25.93209,400,1783.587747
34.706532,194,1786.801119
359.258909,198,1790.070226
461.540467,329,1795.539256
226.147119,1,1795.589615
255.258871,141,1797.97174
367.384461,261,1802.307049
-29.77326,341,1807.795517
264.528192,341,1813.202434
994.169674,300,1818.111217
10.099468,16,1818.403177
620.563575,300,1823.37156
272.494197,157,1826.054746
122.614007,305,1831.117317
891.08245,400,1837.498097
-31.905761,400,1843.572168
-52.224055,341,1848.775634
998.54187,300,1853.792551
-30.278859,400,1860.390795
265.751881,341,1865.986194
611.269409,300,1870.453654
225.443119,1,1870.503648
265.787239,341,1875.727545
-108.801916,267,1880.105938
277.188212,341,1885.710251
-15.535441,300,1890.602057
-13.006224,300,1895.183852
697.174313,400,1901.669523
961.154784,300,1906.336252
-26.658878,341,1911.75029
-13.408174,300,1916.297767
225.907756,1,1916.348688
-81.485291,334,1921.799346
316.697234,221,1925.143775
7.134971,341,1930.766227
-6.986112,300,1935.373564
509.336167,256,1939.538999
1040.067358,300,1944.574429
316.727851,341,1950.282372
134.107778,85,1951.723313
940.099454,300,1956.748673
-33.625848,400,1963.433613
-17.118271,300,1968.375237
-29.585451,400,1974.948667
-25.870364,300,1979.941804
-72.636216,341,1985.602633
24.397643,21,1985.97314
261.750455,145,1988.355665
317.651301,400,1994.428038
33.591676,341,2000.068948
607.549143,300,2005.001975
608.640423,300,2009.951745
